Sr no.,EVENT NAME,EVENT DATE,EVENT LOCATION,EVENT TYPE,TOTAL ATTENDEES,EVENT MEDIA,EVENT SPONSERS
1,Beyond the code,19 September 2024,SRM-IST,Meetup,700,,-
2,Welcoming the founder ,20 September 2024,SRM-IST,Meetup,200,,Akai Space
3,How to Blockchain,15 January 2025,SRM-IST,Workshop,120,,-
4,Web3 mai bahut scope hai IRL,28 March 2025,SRM-IST,Meetup,150,,Wormhole Foundation
5,Supernova,2-3 May 2025,"GL Bajaj Institute of Technology & Management, Greater Noida",Hackathon,https://docs.google.com/spreadsheets/d/1COfBo3LQNrz4IIRs4awaNOHU_s6ITjsrRL4v_R3b0_g/edit?gid=0#gid=0,,
6,HackHaven 2.0,3-4 May 2025,ABES Engineering college,Hackathon,,https://abes365-my.sharepoint.com/:f:/g/personal/dsc_abes_ac_in/EkcmwqAzMSZElKVNHUp_AqAByQbjN4t3nS2dY4uOa8NxeQ?e=H67Slt,GDG
7,Hackamania,23 May 2025,"Microsoft office, gurgaon",Hackathon,,https://photos.app.goo.gl/YE5ZR95xtm1EGBwX8,".xyz, appwars, pw, youtube, gfg, last3feet"
8,CodeClash 2.0,20-28 June 2025,Google Office,Hackathon,,,"unstop, genesis, github, omnidimension, duality, pw, powergrid, alltripp"
9,Genesis Meetup,25 June 2025,"Microsoft Ofiice, Noida",Meetup,130,,"Reskill, ADC, Github, EigenCloud, TON"
10,HackArena 2025,28-29 june 2025,IIIt Delhi,Hackathon,https://docs.google.com/spreadsheets/d/1XFbuj6yd8YXklXXwV9UmJuiuhRsnLrvUsy99c66roT4/edit?gid=0#gid=0,,"predator, abhibus, duality, gfg, github, pw, osata, genesis, microsoft azure"
11,15forteen meetup,5July 2025,"Microsoft Ofiice, Noida",Meetup,,,
12,Codecap Meetup,13 July 2025,"Central Academy International School, Sector 10, Dwarka ",Meetup,,,
13,Careerverse,19 July 2025,Thoughtworks office Gurugram,Meetup,,,
14,Web3 Pe Charcha,26 July 2025,"Microsoft Ofiice, gurugram",Meetup,100,https://drive.google.com/drive/folders/1YGJFLHtotLG9FPgmlWmmpwNx-8Yrmbb_?usp=sharing,
15,Hackshastra Pre-Meetup,27 July 2025,IIIT Delhi,Meetup,,,"pw, headshot, lci group, decoders"
16,Tech masala,22 August 2025,"Microsoft Ofiice, Noida",Meetup,,,-
17,No agenda meetup,22 August 2025,"Microsoft Ofiice, Gurugaon",Meetup,,,ID8{DEVHUB}
18,Hack4bihar,23 August 2025,Thoughtworks office Gurugram,Hackathon,,,
19,Char log kya kahenge,29 August 2025,"Microsoft Ofiice, Noida",Meetup,130,https://drive.google.com/drive/folders/1GYy9EpYjtkcT5e5ysPHoJH5Xf5oiZTRG?usp=drive_link,"Ton, pw"
20,Troubleshoot Ideathon,30 August 2025,"Microsoft Ofiice, Noida",Ideathon,,,"pw, endless domain, clickdiet, market mafia, "
21,Hackground India 2k25,30 August 2025,Thoughtwork Gurugram,Hackathon,,,Github
22,Hackquanta,5-6 september 2025,Jims enginnering and management greater noida,Hackathon,,,"pw, duality, genesis, interviw buddy, cakes and more, .xyz, aocp, the tarot magic, nonilion"
23,HackLoop 2k25,06 September 2025,Thoughtworks office Gurugram,Meetup,,,"market mafia, pw, osata, predator, abhibus, interview buddy, techieHelp, squareboat"
24,Code Veda,13 September 2025,"Microsoft Ofiice, Gurugaon",Hackathon,,,"stock edge, abhibus, interview buddy, endless domain, .xyz, github, gfg, give my certificate, genesis, hack2skill, pw, duality, "
25,Google I/O extended,13 September 2025,Thoughtworks office Gurugram,Meetup,250,,GDG
